scode,YYYY,MM,DAY,WIND,Tsun,Press,TAVE,Tmax,Tmin,RH,Rain,GTAVE,GTmax,GTmin,Sevp,Levp
57237,2015,1,1,0.5235657526175609,0.0,949.1,6.9,10.4,4.0,0.59,0.0,6.6,13.8,2.1,3.9,0.8
57237,2015,1,2,0.5983608601343553,2.4,946.3,7.3,12.2,5.8,0.63,0.0,8.0,17.7,5.1,3.9,1.1
57237,2015,1,3,0.37397553758397206,0.0,942.0,7.6,11.9,6.5,0.65,0.0,7.9,16.3,5.8,3.9,1.0
57237,2015,1,4,0.5983608601343553,0.0,934.4,7.7,9.1,6.3,0.74,0.0,7.5,9.8,5.7,3.9,0.6
57237,2015,1,5,2.917009193154982,0.0,936.7,8.9,10.3,7.5,0.61,0.5,7.4,7.9,7.0,3.9,1.5
57237,2015,1,6,1.6454923653694773,0.0,944.4,4.8,10.3,3.1,0.75,3.8,5.0,7.8,3.7,3.9,2.1
57237,2015,1,7,0.5235657526175609,0.0,948.7,4.2,7.1,1.3,0.79,0.0,5.0,13.6,0.2,3.9,0.9
57237,2015,1,8,0.8227461826847386,0.0,951.7,3.8,7.3,0.8,0.81,0.0,3.6,10.8,-0.6,3.9,0.6
57237,2015,1,9,0.5983608601343553,6.7,950.9,4.6,11.6,0.7,0.77,0.0,5.2,18.1,-0.6,3.9,0.9
57237,2015,1,10,0.5983608601343553,5.0,949.6,6.0,12.4,2.3,0.74,0.0,8.0,22.0,0.5,3.9,1.2
57237,2015,1,11,0.9723363977183274,6.8,948.4,5.4,13.8,0.4,0.76,0.0,6.9,24.2,-1.1,3.9,1.5
57237,2015,1,12,0.897541290201533,6.0,948.5,7.0,14.9,2.4,0.73,0.0,8.8,23.3,0.2,3.9,1.2
57237,2015,1,13,0.5983608601343553,1.4,945.8,6.3,12.0,2.0,0.73,0.0,5.1,19.7,0.5,3.9,1.1
57237,2015,1,14,1.0471315052351218,1.0,946.8,5.7,12.9,1.7,0.71,0.0,5.9,19.3,-0.6,3.9,1.1
57237,2015,1,15,0.5983608601343553,0.0,945.6,5.5,9.0,3.9,0.74,0.0,4.6,10.1,1.7,3.9,0.8
57237,2015,1,16,0.7479510751679441,7.1,948.2,5.6,14.5,0.3,0.73,0.0,5.6,21.6,-2.1,3.9,1.2
57237,2015,1,17,0.9723363977183274,0.0,947.8,5.3,7.0,3.6,0.8,5.3,5.1,6.7,3.7,3.9,1.3
57237,2015,1,18,0.7479510751679441,8.3,950.6,5.6,14.5,0.3,0.68,0.0,6.6,21.7,-0.6,3.9,1.4
57237,2015,1,19,0.5983608601343553,2.5,946.8,5.0,12.6,0.3,0.76,0.0,5.4,17.1,-0.5,3.9,1.0
57237,2015,1,20,0.5983608601343553,7.8,943.1,7.4,16.4,2.2,0.65,0.0,8.3,24.0,0.2,3.9,1.9
57237,2015,1,21,0.9723363977183274,8.4,946.6,6.3,16.1,-0.3,0.59,0.0,6.8,25.2,-1.9,3.9,1.7
57237,2015,1,22,0.5983608601343553,0.3,941.2,5.0,12.5,0.2,0.71,0.0,4.3,17.7,-1.5,3.9,1.1
57237,2015,1,23,0.37397553758397206,0.0,936.4,6.4,8.9,3.4,0.72,0.0,6.1,9.6,0.6,3.9,0.8
57237,2015,1,24,1.4211070428190937,0.0,935.9,8.4,11.5,6.9,0.66,0.0,7.0,15.0,5.2,3.9,0.9
57237,2015,1,25,0.37397553758397206,0.0,941.8,6.1,8.8,3.2,0.76,0.0,5.3,8.1,0.6,3.9,1.1
