scode,YYYY,MM,DAY,WIND,Tsun,Press,TAVE,Tmax,Tmin,RH,Rain,GTAVE,GTmax,GTmin,Sevp,Levp
57313,2015,1,1,0.5235657526175609,0.0,978.9,5.3,6.9,3.2,0.89,0.0,5.3,7.9,1.7,0.3,0.4
57313,2015,1,2,0.7479510751679441,0.0,975.9,7.3,10.8,5.7,0.87,0.0,7.8,16.2,5.2,0.3,0.5
57313,2015,1,3,0.4487706451007665,0.0,971.8,7.5,10.7,5.4,0.85,0.0,8.1,15.5,4.2,0.3,0.3
57313,2015,1,4,0.7479510751679441,0.0,963.6,6.9,8.8,5.8,0.87,0.0,6.5,9.1,3.6,0.3,0.9
57313,2015,1,5,0.7479510751679441,0.0,965.8,9.3,12.3,7.9,0.79,0.1,7.8,10.3,6.4,0.3,0.5
57313,2015,1,6,1.4959021503358882,0.0,973.7,6.6,12.5,5.2,0.75,2.1,5.3,8.1,3.1,0.3,1.7
57313,2015,1,7,0.8227461826847386,0.0,978.7,4.7,6.9,2.9,0.91,0.0,6.1,13.0,1.3,0.3,0.6
57313,2015,1,8,0.5983608601343553,0.0,981.1,6.3,9.3,4.5,0.83,0.0,6.3,12.5,3.2,0.3,0.5
57313,2015,1,9,0.7479510751679441,0.0,981.2,5.0,8.0,2.6,0.88,0.0,6.0,14.4,-0.1,0.3,0.7
57313,2015,1,10,0.7479510751679441,1.6,979.6,6.9,11.0,5.0,0.79,0.0,7.5,19.9,3.2,0.3,0.8
57313,2015,1,11,0.8227461826847386,6.7,978.4,5.4,12.2,1.8,0.82,0.0,6.5,21.4,-0.4,0.3,0.9
57313,2015,1,12,0.5235657526175609,0.0,978.5,5.6,11.8,2.3,0.86,0.0,5.6,19.8,-0.6,0.3,0.9
57313,2015,1,13,0.6731559676511497,3.8,975.6,5.4,13.2,1.5,0.83,0.0,6.1,20.4,-1.3,0.3,1.0
57313,2015,1,14,0.5983608601343553,0.0,976.3,5.9,11.2,3.2,0.83,0.0,5.7,14.8,0.3,0.3,0.7
57313,2015,1,15,0.4487706451007665,0.5,974.8,7.3,12.4,5.0,0.8,0.0,7.6,17.8,2.4,0.3,0.6
57313,2015,1,16,0.6731559676511497,7.9,977.6,6.5,13.4,1.9,0.78,0.0,6.7,22.4,-1.5,0.3,1.0
57313,2015,1,17,0.37397553758397206,0.0,976.7,6.6,7.6,5.1,0.93,8.7,5.6,7.5,2.8,0.3,1.0
57313,2015,1,18,0.7479510751679441,6.9,980.2,6.0,12.9,2.4,0.82,0.2,7.0,21.4,0.0,0.3,1.1
57313,2015,1,19,0.7479510751679441,0.0,976.0,6.4,11.3,2.6,0.81,0.0,6.6,19.8,0.6,0.3,0.9
57313,2015,1,20,0.8227461826847386,7.8,972.7,7.5,15.1,2.7,0.79,0.0,7.9,22.2,-0.2,0.3,0.7
57313,2015,1,21,0.6731559676511497,8.0,975.7,7.5,15.4,2.3,0.79,0.0,7.4,24.0,-1.3,0.3,1.0
57313,2015,1,22,0.37397553758397206,2.3,969.5,7.2,15.4,3.2,0.8,0.0,6.2,21.3,-0.1,0.3,0.7
57313,2015,1,23,0.5235657526175609,0.0,964.8,7.5,10.1,4.8,0.84,0.0,6.8,11.2,2.0,0.3,0.8
57313,2015,1,24,0.37397553758397206,0.0,963.9,9.6,12.4,8.3,0.85,0.0,9.1,14.0,7.2,0.3,0.5
57313,2015,1,25,0.37397553758397206,0.0,969.9,8.9,10.5,6.6,0.89,0.0,8.1,11.5,3.7,0.3,0.5
57313,2015,1,26,0.5983608601343553,0.0,969.3,10.1,14.1,6.8,0.84,0.0,9.6,18.3,4.1,0.3,0.6
57313,2015,1,27,0.7479510751679441,0.0,968.3,8.9,11.4,7.4,0.91,4.1,8.8,10.1,7.5,0.3,0.6
57313,2015,1,28,1.1967217202687106,0.0,968.0,5.7,7.9,4.4,0.86,1.4,5.9,7.5,4.8,0.3,1.0
57313,2015,1,29,0.8227461826847386,0.6,975.2,5.5,7.5,3.8,0.58,0.0,6.5,16.1,2.7,0.3,1.5
57313,2015,1,30,0.8227461826847386,0.0,977.4,4.0,5.8,3.1,0.73,0.0,3.8,6.1,1.9,0.3,0.6
57313,2015,1,31,0.8227461826847386,0.0,979.9,4.3,4.9,3.6,0.68,0.1,4.3,8.4,2.6,0.3,1.0
57313,2015,2,1,0.4487706451007665,0.0,979.0,4.0,4.8,2.6,0.76,0.0,3.9,7.4,0.6,0.3,0.9
57313,2015,2,2,0.5235657526175609,0.0,977.0,5.1,7.2,3.6,0.77,0.0,5.4,10.9,2.9,0.3,0.7
57313,2015,2,3,0.6731559676511497,0.0,980.2,6.2,9.8,4.3,0.72,0.0,6.7,17.3,3.1,0.3,0.7
57313,2015,2,4,0.9723363977183274,7.9,980.5,6.0,12.9,0.7,0.67,0.0,7.5,23.8,-1.5,0.3,1.4
57313,2015,2,5,0.7479510751679441,4.2,980.6,6.1,11.4,3.2,0.67,0.0,5.8,19.2,0.4,0.3,1.2
57313,2015,2,6,0.7479510751679441,2.5,974.9,6.8,11.2,2.6,0.72,0.0,7.4,22.3,-0.2,0.3,1.3
57313,2015,2,7,1.1967217202687106,8.2,975.4,9.5,15.2,5.5,0.54,0.0,9.5,25.3,2.8,0.3,2.2
57313,2015,2,8,0.5983608601343553,3.6,977.3,6.2,11.2,2.2,0.66,0.8,5.2,18.1,-1.5,0.3,1.4
57313,2015,2,9,0.7479510751679441,0.0,976.9,7.5,8.9,6.5,0.8,0.5,6.8,9.8,5.7,0.3,0.9
57313,2015,2,10,0.7479510751679441,4.2,973.3,7.8,12.7,5.7,0.76,0.0,8.4,22.8,4.6,0.3,0.8
57313,2015,2,11,0.9723363977183274,8.1,973.0,7.3,14.4,2.9,0.78,0.0,8.4,25.2,0.0,0.3,1.1
57313,2015,2,12,0.5235657526175609,8.3,969.1,8.3,17.0,3.0,0.77,0.0,8.9,27.0,-0.3,0.3,1.0
57313,2015,2,13,0.5235657526175609,5.7,966.6,9.3,16.7,4.2,0.75,0.0,10.9,28.9,1.5,0.3,1.0
57313,2015,2,14,0.4487706451007665,0.0,961.1,10.4,12.0,9.2,0.84,0.0,9.7,12.0,8.5,0.3,1.0
57313,2015,2,15,0.9723363977183274,3.0,966.4,13.1,19.0,9.9,0.75,0.0,13.9,29.2,8.8,0.3,0.7
57313,2015,2,16,0.5983608601343553,6.7,970.8,12.4,18.1,9.1,0.72,0.0,13.3,28.2,7.3,0.3,1.5
57313,2015,2,17,0.5983608601343553,8.0,967.3,11.0,18.7,6.0,0.74,0.0,12.2,30.5,3.0,0.3,1.5
57313,2015,2,18,0.4487706451007665,0.0,965.2,13.0,17.3,9.9,0.71,0.0,12.4,22.2,7.2,0.3,0.8
57313,2015,2,19,0.897541290201533,0.0,963.3,12.5,15.0,11.0,0.76,2.3,11.0,13.4,10.1,0.3,1.0
57313,2015,2,20,0.897541290201533,4.3,962.9,12.3,16.3,10.6,0.76,0.0,12.6,24.6,9.1,0.3,0.8
57313,2015,2,21,0.7479510751679441,2.6,966.9,12.4,17.8,9.2,0.67,0.0,12.6,26.5,7.0,0.3,1.2
57313,2015,2,22,0.5983608601343553,0.0,968.6,10.3,14.2,9.1,0.81,5.6,10.1,13.6,8.3,0.3,1.7
57313,2015,2,23,0.8227461826847386,2.3,967.0,10.0,14.0,8.3,0.86,2.1,11.2,21.1,8.1,0.3,0.9
57313,2015,2,24,0.6731559676511497,0.4,964.5,9.7,12.2,7.7,0.88,0.0,9.0,14.6,5.5,0.3,0.6
57313,2015,2,25,0.5983608601343553,0.0,965.4,9.7,12.0,8.3,0.85,0.0,8.9,13.7,6.2,0.3,0.8
57313,2015,2,26,0.5983608601343553,0.0,964.8,10.5,13.0,8.8,0.76,0.0,9.7,14.6,6.9,0.3,0.8
57313,2015,2,27,1.0471315052351218,0.0,964.2,10.3,12.1,9.5,0.74,0.0,9.1,11.0,8.2,0.3,1.0
57313,2015,2,28,1.795082580403066,0.0,974.2,8.0,10.1,6.2,0.63,1.6,7.0,12.1,4.9,0.3,1.9
57313,2015,3,1,0.9723363977183274,3.5,976.4,7.5,11.1,4.4,0.61,0.0,8.0,23.7,2.3,0.3,1.8
57313,2015,3,2,0.5983608601343553,0.0,967.3,7.4,11.5,4.1,0.76,0.0,7.8,19.3,1.7,0.3,1.0
57313,2015,3,3,0.897541290201533,3.9,968.7,10.6,15.6,7.3,0.65,0.0,12.6,30.5,5.4,0.3,1.2
57313,2015,3,4,1.271516827785505,0.0,966.7,8.5,11.2,7.8,0.79,2.9,7.8,10.8,6.7,0.3,1.1
57313,2015,3,5,0.7479510751679441,2.8,970.2,8.5,11.8,6.3,0.68,0.0,9.6,27.6,4.8,0.3,1.5
57313,2015,3,6,0.7479510751679441,3.7,971.0,9.0,12.9,6.7,0.69,0.0,9.1,29.8,5.6,0.3,1.4
57313,2015,3,7,1.0471315052351218,0.0,967.9,8.7,13.3,4.3,0.74,0.0,9.3,21.3,1.8,0.3,1.3
57313,2015,3,8,0.5983608601343553,10.0,968.7,12.8,20.7,8.0,0.65,0.0,14.7,33.4,5.7,0.3,1.9
57313,2015,3,9,0.9723363977183274,3.2,972.5,12.9,19.3,8.8,0.7,0.0,12.9,33.0,6.2,0.3,1.5
57313,2015,3,10,0.4487706451007665,0.0,973.6,12.3,14.2,10.8,0.66,0.0,10.5,13.2,9.1,0.3,1.1
57313,2015,3,11,0.7479510751679441,7.5,975.3,11.9,16.8,8.6,0.76,1.8,14.7,30.5,7.2,0.3,1.5
57313,2015,3,12,0.8227461826847386,6.7,970.1,12.1,17.4,7.3,0.72,0.0,14.7,33.7,5.0,0.3,1.7
57313,2015,3,13,0.897541290201533,4.1,966.0,12.4,18.0,9.4,0.75,0.0,12.6,26.1,7.8,0.3,1.3
57313,2015,3,14,1.0471315052351218,7.0,967.3,15.4,21.0,11.5,0.75,0.9,17.5,33.8,10.9,0.3,1.2
57313,2015,3,15,0.7479510751679441,0.0,966.0,14.3,17.1,13.2,0.88,6.4,13.9,17.7,12.8,0.3,1.2
57313,2015,3,16,0.6731559676511497,0.0,963.1,15.3,19.3,11.4,0.82,0.0,16.1,25.4,9.3,0.3,1.0
57313,2015,3,17,0.8227461826847386,0.0,957.8,17.5,21.0,15.3,0.77,0.0,16.8,24.3,14.0,0.3,0.7
57313,2015,3,18,1.121926612751916,5.7,960.3,17.8,22.1,14.0,0.7,2.1,17.4,32.8,13.2,0.3,1.9
