scode,YYYY,MM,DAY,WIND,Tsun,Press,TAVE,Tmax,Tmin,RH,Rain,GTAVE,GTmax,GTmin,Sevp,Levp
57328,2015,1,1,0.4487706451007665,0.0,987.2,7.6,8.5,6.8,0.84,0.0,7.6,9.0,6.0,1,0.6
57328,2015,1,2,0.5235657526175609,0.0,984.6,8.0,10.3,7.3,0.87,0.0,8.2,12.0,7.3,1,0.5
57328,2015,1,3,0.5235657526175609,0.0,980.0,9.2,12.5,6.8,0.79,0.0,9.9,15.5,6.0,1,0.7
57328,2015,1,4,0.5235657526175609,0.0,971.5,9.4,10.8,8.3,0.83,0.0,9.5,11.3,8.4,1,0.7
57328,2015,1,5,0.7479510751679441,0.0,973.9,9.1,10.2,8.4,0.91,1.6,9.3,10.0,8.9,1,0.8
57328,2015,1,6,0.7479510751679441,0.0,982.4,6.6,9.0,5.7,0.9,14.5,7.6,9.8,6.8,1,1.5
57328,2015,1,7,0.897541290201533,0.0,987.1,6.0,8.4,4.7,0.89,0.0,7.0,11.0,5.2,1,0.9
57328,2015,1,8,0.7479510751679441,0.0,989.5,6.7,7.9,5.5,0.86,0.6,7.0,10.0,5.3,1,0.6
57328,2015,1,9,0.5235657526175609,0.0,989.7,7.4,9.4,6.2,0.85,0.0,7.9,11.6,6.4,1,1.0
57328,2015,1,10,0.6731559676511497,0.0,988.2,6.1,10.6,2.8,0.9,0.0,7.2,13.6,3.9,1,0.9
57328,2015,1,11,0.6731559676511497,4.9,986.8,6.9,12.5,3.0,0.81,0.0,7.8,16.0,3.4,1,1.0
57328,2015,1,12,0.7479510751679441,3.8,986.9,7.5,14.2,2.9,0.84,0.0,8.5,17.0,4.0,1,0.9
57328,2015,1,13,0.6731559676511497,7.2,983.7,7.3,14.8,2.3,0.8,0.0,7.8,17.4,2.3,1,1.2
57328,2015,1,14,0.7479510751679441,0.0,984.4,8.0,11.1,5.2,0.79,0.0,8.1,12.4,4.4,1,1.0
57328,2015,1,15,0.7479510751679441,0.0,983.1,8.3,10.1,7.2,0.85,0.0,8.2,10.4,7.1,1,0.8
57328,2015,1,16,0.6731559676511497,0.0,986.1,8.2,12.5,5.0,0.82,0.0,8.8,14.7,5.2,1,0.9
57328,2015,1,17,0.897541290201533,0.0,984.9,8.3,9.3,7.7,0.87,1.5,8.3,9.4,7.5,1,0.6
57328,2015,1,18,0.6731559676511497,5.8,988.3,8.8,13.5,5.4,0.76,0.1,8.7,16.5,4.1,1,1.3
57328,2015,1,19,0.6731559676511497,0.0,984.4,8.0,11.5,5.4,0.82,0.0,8.2,13.0,5.3,1,0.9
57328,2015,1,20,0.5235657526175609,6.3,981.1,8.9,15.9,3.9,0.81,0.0,9.1,18.0,4.3,1,1.0
57328,2015,1,21,0.6731559676511497,6.8,984.3,8.8,15.9,3.7,0.79,0.0,9.1,19.1,3.5,1,1.3
57328,2015,1,22,0.897541290201533,6.6,977.6,9.7,18.0,4.7,0.7,0.0,9.6,20.9,3.6,1,1.4
57328,2015,1,23,0.897541290201533,0.0,972.8,10.4,12.2,8.9,0.71,0.0,10.0,12.6,8.0,1,1.0
57328,2015,1,24,0.7479510751679441,0.0,972.0,11.1,12.5,10.1,0.83,0.0,10.4,13.2,9.1,1,0.5
57328,2015,1,25,0.8227461826847386,0.0,978.3,10.3,11.8,8.6,0.83,0.7,10.3,11.2,9.6,1,0.7
