scode,YYYY,MM,Tsun_sum,Tsun_max,Tsun_min,Tsun_mean,TAVE_max,TAVE_min,TAVE_mean,Tmax_max,Tmax_min,Tmax_mean,Tmin_max,Tmin_min,Tmin_mean,Rain_sum,Rain_max,Rain_mean,GTAVE_max,GTAVE_min,GTAVE_mean,GTmax_max,GTmax_min,GTmax_mean,GTmin_max,GTmin_min,GTmin_mean,Sevp_sum,Sevp_max,Sevp_min,Sevp_mean,name,type,altitude,alt_qiya,lon,lat
57237,2006,10,97.0,8.2,0.0,3.129032258064516,20.7,12.2,17.0258064516129,28.7,13.9,23.396774193548385,17.0,8.0,13.287096774193548,107.19999999999999,35.3,3.4580645161290318,24.1,11.9,18.729032258064517,47.2,14.9,31.761290322580646,17.5,7.8,12.97741935483871,120.89999999999999,3.9,3.9,3.9,BB,基准站,400,675.0,282035.3779,3408250.692
57237,2006,11,68.4,8.1,0.0,2.2800000000000002,16.2,6.3,11.276666666666667,24.1,8.0,16.656666666666666,11.7,3.2,7.79,20.400000000000002,7.9,0.68,17.9,6.4,12.113333333333333,42.1,9.1,23.736666666666668,10.5,2.5,6.92,117.0,3.9,3.9,3.9,BB,基准站,400,675.0,282035.3779,3408250.692
57237,2006,12,70.2,7.8,0.0,2.264516129032258,7.6,3.2,5.641935483870968,15.7,4.8,10.47741935483871,6.7,-2.5,2.270967741935484,3.1999999999999997,1.7,0.10322580645161289,7.8,2.8,5.619354838709677,21.8,7.0,15.003225806451614,6.1,-3.1,1.1290322580645162,120.89999999999999,3.9,3.9,3.9,BB,基准站,400,675.0,282035.3779,3408250.692
57237,2006,2,35.2,7.3,0.0,1.2571428571428573,10.8,1.2,5.882142857142857,16.0,3.2,9.799999999999999,8.7,-0.4,3.1142857142857143,18.2,4.5,0.65,10.2,1.1,6.0928571428571425,33.5,5.0,16.032142857142855,7.6,-2.4,1.8,109.2,3.9,3.9,3.9,BB,基准站,400,675.0,282035.3779,3408250.692
57237,2006,3,138.2,9.8,0.0,4.458064516129032,17.4,2.7,11.319354838709677,24.2,6.7,18.1,11.7,-2.6,6.558064516129032,23.0,6.9,0.7419354838709677,23.1,3.2,13.461290322580645,48.2,10.4,31.55483870967742,11.0,-3.6,5.412903225806452,120.89999999999999,3.9,3.9,3.9,BB,基准站,400,675.0,282035.3779,3408250.692
57237,2006,4,146.1,10.3,0.0,4.87,20.6,5.3,15.203333333333335,31.0,7.7,22.373333333333335,15.9,3.1,10.116666666666667,153.9,42.7,5.13,26.3,5.8,16.86,51.9,10.7,32.86,16.0,2.8,9.173333333333334,117.0,3.9,3.9,3.9,BB,基准站,400,675.0,282035.3779,3408250.692
57237,2006,5,181.2,11.8,0.0,5.84516129032258,23.4,13.6,19.84193548387097,32.7,14.5,26.770967741935483,18.4,10.1,14.538709677419355,193.4,60.3,6.238709677419355,29.7,13.1,23.55806451612903,58.7,15.3,43.45483870967742,18.6,10.3,13.96774193548387,120.89999999999999,3.9,3.9,3.9,BB,基准站,400,675.0,282035.3779,3408250.692
57237,2006,6,105.0,11.3,0.0,3.5,28.8,20.5,24.363333333333333,38.6,22.4,30.826666666666664,23.2,15.1,19.41,291.5,225.2,9.716666666666667,36.3,20.6,28.970000000000002,64.8,24.1,48.29666666666667,23.9,15.1,19.32,117.0,3.9,3.9,3.9,BB,基准站,400,675.0,282035.3779,3408250.692
57237,2006,7,166.0,12.0,0.0,5.354838709677419,29.7,23.0,27.274193548387096,36.5,26.7,33.23225806451613,25.1,19.8,22.638709677419353,133.5,41.7,4.306451612903226,38.5,22.4,32.406451612903226,66.6,26.6,51.064516129032256,26.3,20.2,23.116129032258065,120.89999999999999,3.9,3.9,3.9,BB,基准站,400,675.0,282035.3779,3408250.692
57237,2006,8,152.2,11.3,0.0,4.909677419354838,30.1,21.2,26.58709677419355,38.2,23.8,33.73548387096774,25.1,17.0,21.55483870967742,47.2,21.8,1.5225806451612904,38.3,21.5,31.26451612903226,66.4,24.2,51.99032258064516,26.1,18.1,21.87741935483871,120.89999999999999,3.9,3.9,3.9,BB,基准站,400,675.0,282035.3779,3408250.692
57237,2006,9,75.2,9.3,0.0,2.506666666666667,27.6,16.9,20.126666666666665,35.8,18.7,25.133333333333333,23.4,12.0,16.866666666666667,154.1,64.1,5.136666666666667,28.9,16.9,22.11,56.6,18.6,34.69666666666667,23.8,10.7,16.613333333333333,117.0,3.9,3.9,3.9,BB,基准站,400,675.0,282035.3779,3408250.692
57237,2007,1,100.3,8.3,0.0,3.235483870967742,8.4,0.8,4.241935483870968,19.4,3.7,9.535483870967743,3.7,-3.8,0.2870967741935484,1.1,0.8,0.035483870967741936,8.6,0.5,4.764516129032257,30.9,7.1,17.85483870967742,3.3,-4.7,-1.3,120.89999999999999,3.9,3.9,3.9,BB,基准站,400,675.0,282035.3779,3408250.692
57237,2007,10,75.4,8.6,0.0,2.4322580645161294,23.3,9.0,15.780645161290321,31.2,11.0,20.470967741935485,19.5,6.9,12.62258064516129,29.1,15.9,0.9387096774193548,25.3,10.3,17.22258064516129,50.1,12.4,29.725806451612904,19.8,6.0,12.083870967741936,120.89999999999999,3.9,3.9,3.9,BB,基准站,400,675.0,282035.3779,3408250.692
57237,2007,11,111.3,8.8,0.0,3.71,13.5,6.3,11.136666666666667,22.0,12.2,17.006666666666668,12.0,-0.5,7.36,8.7,5.1,0.29,14.8,7.7,11.643333333333334,33.2,12.8,24.003333333333334,11.0,-2.1,5.8566666666666665,117.0,3.9,3.9,3.9,BB,基准站,400,675.0,282035.3779,3408250.692
57237,2007,12,45.1,8.6,0.0,1.4548387096774194,9.5,2.8,5.680645161290323,16.4,4.9,9.929032258064517,8.2,-3.0,2.7838709677419353,5.1,1.5,0.16451612903225804,9.7,1.9,5.654838709677419,29.8,6.2,14.893548387096773,7.5,-4.2,1.1129032258064515,120.89999999999999,3.9,3.9,3.9,BB,基准站,400,675.0,282035.3779,3408250.692
57237,2007,2,82.2,8.9,0.0,2.935714285714286,13.1,5.4,8.582142857142857,20.4,8.1,14.992857142857144,9.4,-3.0,4.192857142857143,25.8,11.7,0.9214285714285715,14.5,5.7,8.753571428571428,35.3,8.8,22.103571428571428,8.9,-5.8,2.5142857142857147,109.2,3.9,3.9,3.9,BB,基准站,400,675.0,282035.3779,3408250.692
