scode,YYYY,MM,Tsun_sum,Tsun_max,Tsun_min,Tsun_mean,TAVE_max,TAVE_min,TAVE_mean,Tmax_max,Tmax_min,Tmax_mean,Tmin_max,Tmin_min,Tmin_mean,Rain_sum,Rain_max,Rain_mean,GTAVE_max,GTAVE_min,GTAVE_mean,GTmax_max,GTmax_min,GTmax_mean,GTmin_max,GTmin_min,GTmin_mean,Sevp_sum,Sevp_max,Sevp_min,Sevp_mean,name,type,altitude,alt_qiya,lon,lat
57328,2005,1,42.8,7.5,0.0,1.3806451612903226,8.4,1.7,6.04516129032258,14.3,5.9,9.625806451612902,6.3,-1.8,3.5258064516129033,6.8,3.7,0.21935483870967742,9.5,2.0,6.409677419354838,21.6,7.8,13.351612903225806,5.8,-1.4,2.893548387096774,31,1,1,1.0,EE,基本站,200,345.8,234913.6961,3309382.621
57328,2005,10,43.1,7.4,0.0,1.3903225806451613,24.9,11.8,16.948387096774194,27.3,12.8,20.387096774193548,23.8,9.0,14.858064516129033,206.5,54.2,6.661290322580645,24.5,12.6,17.822580645161292,34.6,15.9,24.93548387096774,21.6,8.3,14.480645161290322,31,1,1,1.0,EE,基本站,200,345.8,234913.6961,3309382.621
57328,2005,11,23.5,5.4,0.0,0.7833333333333333,17.2,8.7,12.753333333333334,23.5,10.7,15.766666666666667,15.7,5.9,10.883333333333333,44.1,22.6,1.47,18.2,9.4,13.256666666666666,30.7,12.6,19.613333333333333,14.0,5.4,10.32,30,1,1,1.0,EE,基本站,200,345.8,234913.6961,3309382.621
57328,2005,12,18.9,7.1,0.0,0.6096774193548387,10.2,3.2,7.016129032258065,14.8,5.8,10.016129032258064,9.2,-1.0,4.95483870967742,12.799999999999999,3.3,0.41290322580645156,10.3,3.8,7.312903225806451,19.8,6.7,12.587096774193547,9.1,-1.3,4.532258064516129,31,1,1,1.0,EE,基本站,200,345.8,234913.6961,3309382.621
57328,2005,2,29.7,7.3,0.0,1.0607142857142857,9.6,4.9,7.5928571428571425,17.6,7.6,11.289285714285715,7.7,0.7,4.942857142857143,12.9,3.1,0.46071428571428574,11.8,5.6,8.267857142857142,31.6,9.5,17.889285714285712,7.4,-0.6,4.246428571428572,28,1,1,1.0,EE,基本站,200,345.8,234913.6961,3309382.621
57328,2005,3,96.4,10.0,0.0,3.109677419354839,17.7,7.5,12.412903225806453,25.4,10.3,17.770967741935483,13.3,2.1,8.603225806451613,57.9,24.9,1.867741935483871,19.9,9.5,13.654838709677419,38.7,13.8,26.190322580645162,12.2,1.0,8.012903225806452,31,1,1,1.0,EE,基本站,200,345.8,234913.6961,3309382.621
57328,2005,4,143.7,11.1,0.0,4.79,25.5,12.5,19.029999999999998,32.7,14.1,25.19333333333333,20.2,8.5,14.41,132.5,42.3,4.416666666666667,29.7,12.8,20.966666666666665,53.7,15.8,35.97,20.1,8.3,13.876666666666667,30,1,1,1.0,EE,基本站,200,345.8,234913.6961,3309382.621
57328,2005,5,63.3,11.2,0.0,2.041935483870968,25.7,18.6,22.40967741935484,32.0,20.2,26.9,22.6,14.4,19.09032258064516,148.0,51.9,4.774193548387097,31.5,19.2,24.296774193548387,54.1,22.4,37.0516129032258,22.2,13.2,18.729032258064517,31,1,1,1.0,EE,基本站,200,345.8,234913.6961,3309382.621
57328,2005,6,149.0,12.2,0.0,4.966666666666667,31.1,21.1,26.15,37.0,21.8,31.453333333333333,26.1,18.7,22.453333333333333,178.10000000000002,68.4,5.936666666666667,36.9,21.4,29.07,59.6,23.7,43.81666666666667,25.8,18.8,22.333333333333332,30,1,1,1.0,EE,基本站,200,345.8,234913.6961,3309382.621
57328,2005,7,137.8,11.3,0.0,4.445161290322581,31.6,23.8,28.174193548387095,37.7,26.8,33.21612903225807,26.7,21.6,24.780645161290323,267.20000000000005,140.8,8.619354838709679,38.6,24.9,31.551612903225806,61.3,27.7,47.00645161290323,27.1,21.0,24.54516129032258,31,1,1,1.0,EE,基本站,200,345.8,234913.6961,3309382.621
57328,2005,8,112.2,10.1,0.0,3.6193548387096777,31.2,18.0,25.348387096774193,37.5,18.6,30.083870967741937,26.9,17.3,22.38064516129032,267.1,62.8,8.616129032258065,36.5,18.8,27.72258064516129,63.5,21.0,40.122580645161285,27.2,18.1,22.54516129032258,31,1,1,1.0,EE,基本站,200,345.8,234913.6961,3309382.621
57328,2005,9,158.4,10.6,0.0,5.28,28.3,19.0,24.82,36.0,19.9,30.32,24.4,18.0,21.003333333333334,120.0,33.9,4.0,32.7,19.8,27.06,54.8,21.1,40.9,25.3,18.4,20.90666666666667,30,1,1,1.0,EE,基本站,200,345.8,234913.6961,3309382.621
57328,2006,1,2.5,2.5,0.0,0.08064516129032258,11.2,3.2,6.570967741935483,17.4,5.9,9.625806451612902,9.2,0.2,4.458064516129032,16.6,4.0,0.535483870967742,12.0,4.1,6.941935483870967,23.8,6.1,12.719354838709679,8.2,-0.2,3.954838709677419,31,1,1,1.0,EE,基本站,200,345.8,234913.6961,3309382.621
57328,2006,10,76.5,9.2,0.0,2.467741935483871,21.7,14.8,19.451612903225808,29.0,16.2,23.919354838709676,19.1,13.8,16.67096774193548,84.9,21.3,2.738709677419355,24.6,15.4,20.641935483870967,44.3,16.1,29.68064516129032,19.1,13.7,16.4,31,1,1,1.0,EE,基本站,200,345.8,234913.6961,3309382.621
